latitude	longitude	cp_id_str	Power_kW	connector_id	session_count
55.859526	-4.235452	51240	50	3.0	2
55.859526	-4.235452	51565	22	1.0	25
55.859526	-4.235452	51565	22	2.0	9
55.859526	-4.235452	51565	22	3.0	2
55.859526	-4.235452	51565	51	1.0	50
55.859526	-4.235452	51565	51	2.0	18
55.859526	-4.235452	51565	51	3.0	4
55.859526	-4.235452	51566	22	1.0	22
55.859526	-4.235452	51566	22	2.0	2
55.859526	-4.235452	51566	22	3.0	3
55.859526	-4.235452	51566	51	1.0	44
55.859526	-4.235452	51566	51	2.0	4
55.859526	-4.235452	51566	51	3.0	6
55.859725	-4.221465	60922	7	1.0	196
55.859725	-4.221465	60922	7	2.0	156
55.859784	-4.266037	50412	22	1.0	118
55.859784	-4.266037	50412	22	2.0	144
55.859784	-4.266037	50413	22	1.0	178
55.859784	-4.266037	50413	22	2.0	114
55.859784	-4.266037	50430	22	1.0	68
55.859784	-4.266037	50430	22	2.0	16
55.860368	-4.248396	50787	22	1.0	18
55.860368	-4.248396	50787	22	2.0	26
55.860368	-4.248396	60794	22	1.0	5
55.860368	-4.248396	60795	22	1.0	14
55.860368	-4.248396	60795	7	1.0	14
55.860368	-4.248396	60796	7	1.0	7
55.861084	-4.261302	51354	22	1.0	62
55.861084	-4.261302	51354	22	2.0	66
55.861084	-4.261302	60241	7	1.0	54
55.861084	-4.261302	60241	7	2.0	56
55.86222	-4.238499	52710	7	1.0	18
55.86222	-4.238499	52710	7	2.0	18
55.86222	-4.238499	52711	7	1.0	16
55.86222	-4.238499	52711	7	2.0	24
55.86222	-4.238499	52712	7	1.0	10
55.86222	-4.238499	52712	7	2.0	6
55.863173	-4.237979	52707	7	1.0	6
55.863173	-4.237979	52707	7	2.0	14
55.863173	-4.237979	52708	7	1.0	24
55.863173	-4.237979	52708	7	2.0	20
55.863173	-4.237979	52709	7	1.0	40
55.863173	-4.237979	52709	7	2.0	22
55.863471	-4.261521	50241	22	1.0	88
55.863471	-4.261521	50241	22	2.0	98
55.864005	-4.267177	52918	22	1.0	22
55.864005	-4.267177	52918	22	2.0	8
55.864279	-4.268887	50405	22	1.0	78
55.864279	-4.268887	50405	22	2.0	42
55.864279	-4.268887	50407	7	1.0	110
55.864279	-4.268887	50407	7	2.0	60
55.864279	-4.268887	50414	22	1.0	128
55.864279	-4.268887	50414	22	2.0	28
55.864312	-4.237133	52704	7	2.0	6
55.864312	-4.237133	52705	7	1.0	8
55.864312	-4.237133	52705	7	2.0	22
55.864312	-4.237133	52706	7	1.0	24
55.864312	-4.237133	52706	7	2.0	16
55.864617	-4.328697	53431	7	1.0	76
55.864617	-4.328697	53431	7	2.0	78
55.864721	-4.30743	50540	22	1.0	1
55.864721	-4.30743	50540	22	2.0	4
55.864721	-4.30743	50540	50	1.0	2
55.864721	-4.30743	50540	50	2.0	8
55.864721	-4.30743	50796	22	1.0	142
55.864721	-4.30743	50796	22	2.0	50
55.864721	-4.30743	50797	22	1.0	84
55.864721	-4.30743	50797	22	2.0	126
55.864721	-4.30743	51500	43	1.0	43
55.864721	-4.30743	51500	43	2.0	89
55.864721	-4.30743	51500	43	3.0	14
55.864721	-4.30743	51500	50	1.0	86
55.864721	-4.30743	51500	50	2.0	178
55.864721	-4.30743	51500	50	3.0	28
55.865656	-4.11287	52777	22	1.0	9
55.865678	-4.261218	52919	22	1.0	48
55.865678	-4.261218	52919	22	2.0	42
55.86579	-4.275145	51236	22	1.0	26
55.86579	-4.275145	51236	22	2.0	14
55.86579	-4.275145	51242	22	1.0	118
55.86579	-4.275145	51242	22	2.0	98
55.868162	-4.258613	51567	22	1.0	22
55.868162	-4.258613	51567	50	1.0	44
55.868162	-4.258613	52186	22	1.0	8
